period,stateid,sales
2001,AK,5454.08
2001,AL,79358.258
2001,AR,41732.449
2001,AZ,62274.304
2001,CA,247758.778
2001,CO,44236.038
2001,CT,30540.758
2001,DC,10880.472
2001,DE,11378.626
2001,ENC,557192.871
2001,ESC,299751.34
2001,FL,200752.133
2001,GA,117790.473
2001,HI,9784.563
2001,IA,39443.755
2001,ID,21096.017
2001,IL,136033.549
2001,IN,97733.968
2001,KS,35846.951
2001,KY,79975.499
2001,LA,74692.751
2001,MA,52496.075
2001,MAT,352630.083
2001,MD,61640.02
2001,ME,12151.997
2001,MI,102409.347
2001,MN,60686.852
2001,MO,73213.157
2001,MS,44286.865
2001,MT,11446.658
2001,MTN,222113.717
2001,NC,119026.943
2001,ND,9809.757
2001,NE,24722.64
2001,NEW,118482.744
2001,NH,10315.551
2001,NJ,73177.39
2001,NM,18726.594
2001,NV,28167.293
2001,NY,144180.76
2001,OH,155797.714
2001,OK,49666.725
2001,OR,45884.83
2001,PA,135271.933
2001,PACC,372138.855
2001,PACN,15238.643
2001,RI,7392.917
2001,SAT,720423.641
2001,SC,74832.367
2001,SD,8626.999
2001,TN,96130.718
2001,TX,318044.174
2001,US,3394458.104
2001,UT,23217.308
2001,VA,96453.175
2001,VT,5585.446
2001,WA,78495.247
2001,WI,65218.293
2001,WNC,252350.111
2001,WSC,484136.099
2001,WV,27669.432
2001,WY,12949.505
2002,AK,5465.489
2002,AL,83067.078
2002,AR,42449.558
2002,AZ,62600.737
2002,CA,235213.332
2002,CO,45936.696
2002,CT,31005.489
2002,DC,11128.743
2002,DE,12018.734
2002,ENC,564995.777
2002,ESC,314018.79
2002,FL,210473.53
2002,GA,123789.078
2002,HI,9891.638
2002,IA,40897.543
2002,ID,20699.666
2002,IL,138447.313
2002,IN,101428.55
2002,KS,36713.54
2002,KY,87266.835
2002,LA,79260.989
2002,MA,53707.537
2002,MAT,361862.606
2002,MD,68379.906
2002,ME,11441.358
2002,MI,104713.52
2002,MN,62162.361
2002,MO,75000.629
2002,MS,45451.85
2002,MT,12831.388
2002,MTN,226620.924
2002,NC,122686.468
2002,ND,10219.353
2002,NE,25661.061
2002,NEW,119727.733
2002,NH,10383.387
2002,NJ,74602.62
2002,NM,19206.917
2002,NV,29204.272
2002,NY,147440.116
2002,OH,153407.098
2002,OK,49485.466
2002,OR,45255.173
2002,PA,139819.87
2002,PACC,355872.361
2002,PACN,15357.127
2002,RI,7560.699
2002,SAT,755377.543
2002,SC,77819.392
2002,SD,8936.801
2002,TN,98233.027
2002,TX,320845.849
2002,US,3465466.011
2002,UT,23267.188
2002,VA,100618.57
2002,VT,5629.263
2002,WA,75403.856
2002,WI,66999.296
2002,WNC,259591.288
2002,WSC,492041.862
2002,WV,28463.122
2002,WY,12874.06
2003,AK,5563.682
2003,AL,83844.22
2003,AR,43108.259
2003,AZ,64079.56
2003,CA,243221.316
2003,CO,46494.645
2003,CT,31830.218
2003,DC,10946.383
2003,DE,12599.59
2003,ENC,565023.595
2003,ESC,312063.54
2003,FL,217378.622
2003,GA,123676.657
2003,HI,10390.836
2003,IA,41207.284
2003,ID,21218.685
2003,IL,136247.891
2003,IN,100467.779
2003,KS,36735.39
2003,KY,85219.631
2003,LA,77769.322
2003,MA,55514.357
2003,MAT,360796.343
2003,MD,71258.583
2003,ME,11971.837
2003,MI,108877.193
2003,MN,63087.339
2003,MO,74239.888
2003,MS,45543.881
2003,MT,12824.66
2003,MTN,231193.887
2003,NC,121335.121
2003,ND,10461.108
2003,NE,25856.566
2003,NEW,123438.009
2003,NH,10972.542
2003,NJ,76382.512
2003,NM,19330.491
2003,NV,30131.66
2003,NY,144044.703
2003,OH,152189.238
2003,OK,50428.168
2003,OR,45194.73
2003,PA,140369.128
2003,PACC,366549.547
2003,PACN,15954.518
2003,RI,7796.626
2003,SAT,764055.778
2003,SC,77054.098
2003,SD,9079.99
2003,TN,97455.808
2003,TX,322685.955
2003,US,3493734.486
2003,UT,23860.35
2003,VA,101509.731
2003,VT,5352.429
2003,WA,78133.501
2003,WI,67241.494
2003,WNC,260667.565
2003,WSC,493991.704
2003,WV,28296.993
2003,WY,13253.836
2004,AK,5788.484
2004,AL,86870.519
2004,AR,43672.36
2004,AZ,66933.251
2004,CA,252025.973
2004,CO,46723.841
2004,CT,32214.61
2004,DC,11414.847
2004,DE,11761.153
2004,ENC,571151.082
2004,ESC,319084.878
2004,FL,218584.494
2004,GA,129465.784
2004,HI,10731.52
2004,IA,40902.773
2004,ID,21808.674
2004,IL,139253.956
2004,IN,103094.263
2004,KS,37126.54
2004,KY,86521.156
2004,LA,79737.112
2004,MA,56142.019
2004,MAT,366176.369
2004,MD,66891.7
2004,ME,12367.668
2004,MI,106606.04
2004,MN,63340.315
2004,MO,74054.296
2004,MS,46032.538
2004,MT,12956.782
2004,MTN,237631.806
2004,NC,125656.807
2004,ND,10516.4
2004,NE,25875.93
2004,NEW,125248.953
2004,NH,10973.309
2004,NJ,77593.167
2004,NM,19845.735
2004,NV,31312.306
2004,NY,145081.709
2004,OH,154221.114
2004,OK,50942.042
2004,OR,45636.448
2004,PA,143501.493
2004,PACC,377644.029
2004,PACN,16520.004
2004,RI,7887.575
2004,SAT,778025.91
2004,SC,79908.34
2004,SD,9213.844
2004,TN,99660.665
2004,TX,320614.84
2004,US,3547479.483
2004,UT,24511.704
2004,VA,105424.173
2004,VT,5663.772
2004,WA,79981.608
2004,WI,67975.709
2004,WNC,261030.098
2004,WSC,494966.354
2004,WV,28918.612
2004,WY,13539.513
2005,AK,5912.571
2005,AL,89201.62
2005,AR,46164.923
2005,AZ,69390.686
2005,CA,254249.507
2005,CO,48353.236
2005,CT,33095.029
2005,DC,11816.207
2005,DE,12136.788
2005,ENC,592491.674
2005,ESC,328359.571
2005,FL,224977.011
2005,GA,132265.452
2005,HI,10538.91
2005,IA,42756.808
2005,ID,21852.681
2005,IL,144986.215
2005,IN,106548.91
2005,KS,39024.283
2005,KY,89351.466
2005,LA,77389.17
2005,MA,57227.588
2005,MAT,380317.324
2005,MD,68365.385
2005,ME,12362.879
2005,MI,110444.563
2005,MN,66019.053
2005,MO,80940.494
2005,MS,45901.064
2005,MT,13478.838
2005,MTN,245353.247
2005,NC,128335.377
2005,ND,10839.99
2005,NE,26975.944
2005,NEW,127862.289
2005,NH,11244.628
2005,NJ,81896.813
2005,NM,20638.951
2005,NV,32500.63
2005,NY,150147.571
2005,OH,160176.303
2005,OK,53707.102
2005,OR,46419.245
2005,PA,148272.94
2005,PACC,384093.952
2005,PACN,16451.481
2005,RI,8049.112
2005,SAT,798151.929
2005,SC,81254.088
2005,SD,9811.017
2005,TN,103905.421
2005,TX,334258.262
2005,US,3660968.513
2005,UT,25000.498
2005,VA,108849.552
2005,VT,5883.053
2005,WA,83425.2
2005,WI,70335.683
2005,WNC,276367.589
2005,WSC,511519.457
