period,stateid,price
2001,AK,10.54
2001,AL,5.6
2001,AR,6.05
2001,AZ,7.27
2001,CA,11.22
2001,CO,6.02
2001,CT,9.62
2001,DC,7.4
2001,DE,6.8
2001,ENC,6.46
2001,ESC,5.33
2001,FL,7.67
2001,GA,6.39
2001,HI,14.05
2001,IA,6.14
2001,ID,4.92
2001,IL,6.9
2001,IN,5.3
2001,KS,6.24
2001,KY,4.24
2001,LA,6.96
2001,MA,11.55
2001,MAT,9.74
2001,MD,6.6
2001,ME,10.55
2001,MI,6.97
2001,MN,5.97
2001,MO,6.03
2001,MS,6.26
2001,MT,6.48
2001,MTN,6.44
2001,NC,6.58
2001,ND,5.48
2001,NE,5.39
2001,NEW,10.86
2001,NH,10.95
2001,NJ,9.36
2001,NM,7.16
2001,NV,7.86
2001,NY,11.55
2001,OH,6.62
2001,OK,6.1
2001,OR,5.44
2001,PA,8.01
2001,PACC,9.26
2001,PACN,12.79
2001,RI,11.45
2001,SAT,6.68
2001,SC,5.77
2001,SD,6.35
2001,TN,5.59
2001,TX,7.38
2001,US,7.29
2001,UT,5.21
2001,VA,6.18
2001,VT,10.86
2001,WA,5.34
2001,WI,6.08
2001,WNC,5.99
2001,WSC,7.07
2001,WV,5.07
2001,WY,4.46
2002,AK,10.46
2002,AL,5.71
2002,AR,5.61
2002,AZ,7.21
2002,CA,12.19
2002,CO,6.0
2002,CT,9.71
2002,DC,7.34
2002,DE,6.91
2002,ENC,6.56
2002,ESC,5.39
2002,FL,7.31
2002,GA,6.24
2002,HI,13.39
2002,IA,6.01
2002,ID,5.58
2002,IL,6.94
2002,IN,5.34
2002,KS,6.31
2002,KY,4.26
2002,LA,5.99
2002,MA,10.06
2002,MAT,9.58
2002,MD,6.18
2002,ME,10.35
2002,MI,7.09
2002,MN,5.8
2002,MO,6.09
2002,MS,6.24
2002,MT,5.7
2002,MTN,6.52
2002,NC,6.74
2002,ND,5.45
2002,NE,5.55
2002,NEW,10.03
2002,NH,10.6
2002,NJ,9.3
2002,NM,6.73
2002,NV,8.42
2002,NY,11.16
2002,OH,6.77
2002,OK,5.59
2002,OR,6.32
2002,PA,8.06
2002,PACC,10.11
2002,PACN,12.35
2002,RI,9.2
2002,SAT,6.56
2002,SC,5.83
2002,SD,6.26
2002,TN,5.72
2002,TX,6.62
2002,US,7.2
2002,UT,5.39
2002,VA,6.23
2002,VT,10.87
2002,WA,5.88
2002,WI,6.28
2002,WNC,5.96
2002,WSC,6.33
2002,WV,5.11
2002,WY,4.68
2003,AK,10.5
2003,AL,5.88
2003,AR,5.57
2003,AZ,7.34
2003,CA,11.78
2003,CO,6.77
2003,CT,10.16
2003,DC,7.4
2003,DE,6.96
2003,ENC,6.53
2003,ESC,5.55
2003,FL,7.72
2003,GA,6.32
2003,HI,14.47
2003,IA,6.11
2003,ID,5.22
2003,IL,6.86
2003,IN,5.37
2003,KS,6.35
2003,KY,4.42
2003,LA,6.93
2003,MA,10.56
2003,MAT,10.09
2003,MD,6.45
2003,ME,9.79
2003,MI,6.85
2003,MN,6.01
2003,MO,6.02
2003,MS,6.46
2003,MT,6.14
2003,MTN,6.71
2003,NC,6.86
2003,ND,5.47
2003,NE,5.64
2003,NEW,10.42
2003,NH,10.83
2003,NJ,9.48
2003,NM,7.0
2003,NV,8.29
2003,NY,12.44
2003,OH,6.73
2003,OK,6.35
2003,OR,6.18
2003,PA,8.02
2003,PACC,9.83
2003,PACN,13.09
2003,RI,10.47
2003,SAT,6.77
2003,SC,6.08
2003,SD,6.35
2003,TN,5.84
2003,TX,7.5
2003,US,7.44
2003,UT,5.41
2003,VA,6.27
2003,VT,10.98
2003,WA,5.86
2003,WI,6.64
2003,WNC,6.03
2003,WSC,7.13
2003,WV,5.13
2003,WY,4.76
2004,AK,10.99
2004,AL,6.08
2004,AR,5.67
2004,AZ,7.45
2004,CA,11.35
2004,CO,6.95
2004,CT,10.26
2004,DC,7.47
2004,DE,7.53
2004,ENC,6.64
2004,ESC,5.83
2004,FL,8.16
2004,GA,6.58
2004,HI,15.7
2004,IA,6.4
