state,fyDeclared,incidentType
CA,2017,Severe Storm
AL,2016,Severe Storm
LA,2023,Fire
WA,2023,Fire
MT,2023,Fire
HI,2023,Fire
AZ,2023,Fire
NM,2023,Fire
RI,2023,Fire
KS,2023,Fire
NE,2023,Fire
OK,2023,Fire
OR,2023,Fire
WA,2022,Fire
OR,2022,Fire
CA,2022,Fire
ID,2022,Fire
NV,2022,Fire
AK,2022,Fire
NM,2022,Fire
NE,2022,Fire
AZ,2022,Fire
TX,2022,Fire
FL,2022,Fire
KS,2022,Fire
CO,2022,Fire
OK,2022,Fire
SD,2022,Fire
CA,2021,Fire
WA,2021,Fire
OR,2021,Fire
ID,2021,Fire
MT,2021,Fire
HI,2021,Fire
NV,2021,Fire
AZ,2021,Fire
UT,2021,Fire
NM,2021,Fire
SD,2021,Fire
CO,2021,Fire
WY,2020,Fire
CA,2020,Fire
OR,2020,Fire
WA,2020,Fire
MT,2020,Fire
AZ,2020,Fire
CO,2020,Fire
NV,2020,Fire
UT,2020,Fire
FL,2020,Fire
OK,2020,Fire
UT,2019,Fire
NV,2019,Fire
AK,2019,Fire
TX,2019,Fire
OR,2019,Fire
AZ,2019,Fire
NM,2019,Fire
CA,2019,Fire
UT,2018,Fire
WY,2018,Fire
WA,2018,Fire
SD,2018,Fire
CA,2018,Fire
TX,2018,Fire
ID,2018,Fire
CO,2018,Fire
NV,2018,Fire
NM,2018,Fire
AZ,2018,Fire
OK,2018,Fire
MT,2017,Fire
UT,2017,Fire
CA,2017,Fire
OR,2017,Fire
WA,2017,Fire
NV,2017,Fire
AZ,2017,Fire
NM,2017,Fire
GA,2017,Fire
FL,2017,Fire
OK,2017,Fire
KS,2017,Fire
TN,2017,Fire
KY,2017,Fire
NC,2017,Fire
CO,2017,Fire
OR,2016,Fire
WA,2016,Fire
ID,2016,Fire
CA,2016,Fire
MT,2016,Fire
NV,2016,Fire
WY,2016,Fire
NM,2016,Fire
CO,2016,Fire
UT,2016,Fire
AZ,2016,Fire
NH,2016,Fire
