period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2001,AK,Alaska,ALL,all sectors,5454.08,million kilowatt hours
2001,AL,Alabama,ALL,all sectors,79358.258,million kilowatt hours
2001,AR,Arkansas,ALL,all sectors,41732.449,million kilowatt hours
2001,AZ,Arizona,ALL,all sectors,62274.304,million kilowatt hours
2001,CA,California,ALL,all sectors,247758.778,million kilowatt hours
2001,CO,Colorado,ALL,all sectors,44236.038,million kilowatt hours
2001,CT,Connecticut,ALL,all sectors,30540.758,million kilowatt hours
2001,DC,District of Columbia,ALL,all sectors,10880.472,million kilowatt hours
2001,DE,Delaware,ALL,all sectors,11378.626,million kilowatt hours
2001,ENC,East North Central,ALL,all sectors,557192.871,million kilowatt hours
2001,ESC,East South Central,ALL,all sectors,299751.34,million kilowatt hours
2001,FL,Florida,ALL,all sectors,200752.133,million kilowatt hours
2001,GA,Georgia,ALL,all sectors,117790.473,million kilowatt hours
2001,HI,Hawaii,ALL,all sectors,9784.563,million kilowatt hours
2001,IA,Iowa,ALL,all sectors,39443.755,million kilowatt hours
2001,ID,Idaho,ALL,all sectors,21096.017,million kilowatt hours
2001,IL,Illinois,ALL,all sectors,136033.549,million kilowatt hours
2001,IN,Indiana,ALL,all sectors,97733.968,million kilowatt hours
2001,KS,Kansas,ALL,all sectors,35846.951,million kilowatt hours
2001,KY,Kentucky,ALL,all sectors,79975.499,million kilowatt hours
2001,LA,Louisiana,ALL,all sectors,74692.751,million kilowatt hours
2001,MA,Massachusetts,ALL,all sectors,52496.075,million kilowatt hours
2001,MAT,Middle Atlantic,ALL,all sectors,352630.083,million kilowatt hours
2001,MD,Maryland,ALL,all sectors,61640.02,million kilowatt hours
2001,ME,Maine,ALL,all sectors,12151.997,million kilowatt hours
2001,MI,Michigan,ALL,all sectors,102409.347,million kilowatt hours
2001,MN,Minnesota,ALL,all sectors,60686.852,million kilowatt hours
2001,MO,Missouri,ALL,all sectors,73213.157,million kilowatt hours
2001,MS,Mississippi,ALL,all sectors,44286.865,million kilowatt hours
2001,MT,Montana,ALL,all sectors,11446.658,million kilowatt hours
2001,MTN,Mountain,ALL,all sectors,222113.717,million kilowatt hours
2001,NC,North Carolina,ALL,all sectors,119026.943,million kilowatt hours
2001,ND,North Dakota,ALL,all sectors,9809.757,million kilowatt hours
2001,NE,Nebraska,ALL,all sectors,24722.64,million kilowatt hours
2001,NEW,New England,ALL,all sectors,118482.744,million kilowatt hours
2001,NH,New Hampshire,ALL,all sectors,10315.551,million kilowatt hours
