period,stateid,stateDescription,sectorid,sectorName,price,price-units
2001,AK,Alaska,ALL,all sectors,10.54,cents per kilowatt-hour
2001,AL,Alabama,ALL,all sectors,5.6,cents per kilowatt-hour
2001,AR,Arkansas,ALL,all sectors,6.05,cents per kilowatt-hour
2001,AZ,Arizona,ALL,all sectors,7.27,cents per kilowatt-hour
2001,CA,California,ALL,all sectors,11.22,cents per kilowatt-hour
2001,CO,Colorado,ALL,all sectors,6.02,cents per kilowatt-hour
2001,CT,Connecticut,ALL,all sectors,9.62,cents per kilowatt-hour
2001,DC,District of Columbia,ALL,all sectors,7.4,cents per kilowatt-hour
2001,DE,Delaware,ALL,all sectors,6.8,cents per kilowatt-hour
2001,ENC,East North Central,ALL,all sectors,6.46,cents per kilowatt-hour
2001,ESC,East South Central,ALL,all sectors,5.33,cents per kilowatt-hour
2001,FL,Florida,ALL,all sectors,7.67,cents per kilowatt-hour
2001,GA,Georgia,ALL,all sectors,6.39,cents per kilowatt-hour
2001,HI,Hawaii,ALL,all sectors,14.05,cents per kilowatt-hour
2001,IA,Iowa,ALL,all sectors,6.14,cents per kilowatt-hour
2001,ID,Idaho,ALL,all sectors,4.92,cents per kilowatt-hour
2001,IL,Illinois,ALL,all sectors,6.9,cents per kilowatt-hour
2001,IN,Indiana,ALL,all sectors,5.3,cents per kilowatt-hour
2001,KS,Kansas,ALL,all sectors,6.24,cents per kilowatt-hour
2001,KY,Kentucky,ALL,all sectors,4.24,cents per kilowatt-hour
2001,LA,Louisiana,ALL,all sectors,6.96,cents per kilowatt-hour
2001,MA,Massachusetts,ALL,all sectors,11.55,cents per kilowatt-hour
2001,MAT,Middle Atlantic,ALL,all sectors,9.74,cents per kilowatt-hour
2001,MD,Maryland,ALL,all sectors,6.6,cents per kilowatt-hour
2001,ME,Maine,ALL,all sectors,10.55,cents per kilowatt-hour
2001,MI,Michigan,ALL,all sectors,6.97,cents per kilowatt-hour
2001,MN,Minnesota,ALL,all sectors,5.97,cents per kilowatt-hour
2001,MO,Missouri,ALL,all sectors,6.03,cents per kilowatt-hour
2001,MS,Mississippi,ALL,all sectors,6.26,cents per kilowatt-hour
2001,MT,Montana,ALL,all sectors,6.48,cents per kilowatt-hour
2001,MTN,Mountain,ALL,all sectors,6.44,cents per kilowatt-hour
2001,NC,North Carolina,ALL,all sectors,6.58,cents per kilowatt-hour
2001,ND,North Dakota,ALL,all sectors,5.48,cents per kilowatt-hour
2001,NE,Nebraska,ALL,all sectors,5.39,cents per kilowatt-hour
2001,NEW,New England,ALL,all sectors,10.86,cents per kilowatt-hour
2001,NH,New Hampshire,ALL,all sectors,10.95,cents per kilowatt-hour
2001,NJ,New Jersey,ALL,all sectors,9.36,cents per kilowatt-hour
2001,NM,New Mexico,ALL,all sectors,7.16,cents per kilowatt-hour
2001,NV,Nevada,ALL,all sectors,7.86,cents per kilowatt-hour
2001,NY,New York,ALL,all sectors,11.55,cents per kilowatt-hour
2001,OH,Ohio,ALL,all sectors,6.62,cents per kilowatt-hour
2001,OK,Oklahoma,ALL,all sectors,6.1,cents per kilowatt-hour
2001,OR,Oregon,ALL,all sectors,5.44,cents per kilowatt-hour
2001,PA,Pennsylvania,ALL,all sectors,8.01,cents per kilowatt-hour
2001,PACC,Pacific Contiguous,ALL,all sectors,9.26,cents per kilowatt-hour
2001,PACN,Pacific Noncontiguous,ALL,all sectors,12.79,cents per kilowatt-hour
2001,RI,Rhode Island,ALL,all sectors,11.45,cents per kilowatt-hour
2001,SAT,South Atlantic,ALL,all sectors,6.68,cents per kilowatt-hour
2001,SC,South Carolina,ALL,all sectors,5.77,cents per kilowatt-hour
2001,SD,South Dakota,ALL,all sectors,6.35,cents per kilowatt-hour
2001,TN,Tennessee,ALL,all sectors,5.59,cents per kilowatt-hour
2001,TX,Texas,ALL,all sectors,7.38,cents per kilowatt-hour
2001,US,U.S. Total,ALL,all sectors,7.29,cents per kilowatt-hour
2001,UT,Utah,ALL,all sectors,5.21,cents per kilowatt-hour
2001,VA,Virginia,ALL,all sectors,6.18,cents per kilowatt-hour
2001,VT,Vermont,ALL,all sectors,10.86,cents per kilowatt-hour
2001,WA,Washington,ALL,all sectors,5.34,cents per kilowatt-hour
2001,WI,Wisconsin,ALL,all sectors,6.08,cents per kilowatt-hour
2001,WNC,West North Central,ALL,all sectors,5.99,cents per kilowatt-hour
2001,WSC,West South Central,ALL,all sectors,7.07,cents per kilowatt-hour
2001,WV,West Virginia,ALL,all sectors,5.07,cents per kilowatt-hour
2001,WY,Wyoming,ALL,all sectors,4.46,cents per kilowatt-hour
2002,AK,Alaska,ALL,all sectors,10.46,cents per kilowatt-hour
2002,AL,Alabama,ALL,all sectors,5.71,cents per kilowatt-hour
2002,AR,Arkansas,ALL,all sectors,5.61,cents per kilowatt-hour
2002,AZ,Arizona,ALL,all sectors,7.21,cents per kilowatt-hour
2002,CA,California,ALL,all sectors,12.19,cents per kilowatt-hour
2002,CO,Colorado,ALL,all sectors,6,cents per kilowatt-hour
2002,CT,Connecticut,ALL,all sectors,9.71,cents per kilowatt-hour
2002,DC,District of Columbia,ALL,all sectors,7.34,cents per kilowatt-hour
2002,DE,Delaware,ALL,all sectors,6.91,cents per kilowatt-hour
2002,ENC,East North Central,ALL,all sectors,6.56,cents per kilowatt-hour
2002,ESC,East South Central,ALL,all sectors,5.39,cents per kilowatt-hour
2002,FL,Florida,ALL,all sectors,7.31,cents per kilowatt-hour
2002,GA,Georgia,ALL,all sectors,6.24,cents per kilowatt-hour
2002,HI,Hawaii,ALL,all sectors,13.39,cents per kilowatt-hour
2002,IA,Iowa,ALL,all sectors,6.01,cents per kilowatt-hour
2002,ID,Idaho,ALL,all sectors,5.58,cents per kilowatt-hour
2002,IL,Illinois,ALL,all sectors,6.94,cents per kilowatt-hour
2002,IN,Indiana,ALL,all sectors,5.34,cents per kilowatt-hour
2002,KS,Kansas,ALL,all sectors,6.31,cents per kilowatt-hour
2002,KY,Kentucky,ALL,all sectors,4.26,cents per kilowatt-hour
2002,LA,Louisiana,ALL,all sectors,5.99,cents per kilowatt-hour
2002,MA,Massachusetts,ALL,all sectors,10.06,cents per kilowatt-hour
2002,MAT,Middle Atlantic,ALL,all sectors,9.58,cents per kilowatt-hour
2002,MD,Maryland,ALL,all sectors,6.18,cents per kilowatt-hour
2002,ME,Maine,ALL,all sectors,10.35,cents per kilowatt-hour
2002,MI,Michigan,ALL,all sectors,7.09,cents per kilowatt-hour
2002,MN,Minnesota,ALL,all sectors,5.8,cents per kilowatt-hour
2002,MO,Missouri,ALL,all sectors,6.09,cents per kilowatt-hour
2002,MS,Mississippi,ALL,all sectors,6.24,cents per kilowatt-hour
2002,MT,Montana,ALL,all sectors,5.7,cents per kilowatt-hour
2002,MTN,Mountain,ALL,all sectors,6.52,cents per kilowatt-hour
2002,NC,North Carolina,ALL,all sectors,6.74,cents per kilowatt-hour
2002,ND,North Dakota,ALL,all sectors,5.45,cents per kilowatt-hour
2002,NE,Nebraska,ALL,all sectors,5.55,cents per kilowatt-hour
2002,NEW,New England,ALL,all sectors,10.03,cents per kilowatt-hour
2002,NH,New Hampshire,ALL,all sectors,10.6,cents per kilowatt-hour
2002,NJ,New Jersey,ALL,all sectors,9.3,cents per kilowatt-hour
2002,NM,New Mexico,ALL,all sectors,6.73,cents per kilowatt-hour
2002,NV,Nevada,ALL,all sectors,8.42,cents per kilowatt-hour
2002,NY,New York,ALL,all sectors,11.16,cents per kilowatt-hour
2002,OH,Ohio,ALL,all sectors,6.77,cents per kilowatt-hour
2002,OK,Oklahoma,ALL,all sectors,5.59,cents per kilowatt-hour
2002,OR,Oregon,ALL,all sectors,6.32,cents per kilowatt-hour
2002,PA,Pennsylvania,ALL,all sectors,8.06,cents per kilowatt-hour
2002,PACC,Pacific Contiguous,ALL,all sectors,10.11,cents per kilowatt-hour
2002,PACN,Pacific Noncontiguous,ALL,all sectors,12.35,cents per kilowatt-hour
2002,RI,Rhode Island,ALL,all sectors,9.2,cents per kilowatt-hour
2002,SAT,South Atlantic,ALL,all sectors,6.56,cents per kilowatt-hour
2002,SC,South Carolina,ALL,all sectors,5.83,cents per kilowatt-hour
2002,SD,South Dakota,ALL,all sectors,6.26,cents per kilowatt-hour
2002,TN,Tennessee,ALL,all sectors,5.72,cents per kilowatt-hour
2002,TX,Texas,ALL,all sectors,6.62,cents per kilowatt-hour
2002,US,U.S. Total,ALL,all sectors,7.2,cents per kilowatt-hour
2002,UT,Utah,ALL,all sectors,5.39,cents per kilowatt-hour
2002,VA,Virginia,ALL,all sectors,6.23,cents per kilowatt-hour
2002,VT,Vermont,ALL,all sectors,10.87,cents per kilowatt-hour
2002,WA,Washington,ALL,all sectors,5.88,cents per kilowatt-hour
2002,WI,Wisconsin,ALL,all sectors,6.28,cents per kilowatt-hour
2002,WNC,West North Central,ALL,all sectors,5.96,cents per kilowatt-hour
2002,WSC,West South Central,ALL,all sectors,6.33,cents per kilowatt-hour
2002,WV,West Virginia,ALL,all sectors,5.11,cents per kilowatt-hour
2002,WY,Wyoming,ALL,all sectors,4.68,cents per kilowatt-hour
2003,AK,Alaska,ALL,all sectors,10.5,cents per kilowatt-hour
2003,AL,Alabama,ALL,all sectors,5.88,cents per kilowatt-hour
2003,AR,Arkansas,ALL,all sectors,5.57,cents per kilowatt-hour
2003,AZ,Arizona,ALL,all sectors,7.34,cents per kilowatt-hour
2003,CA,California,ALL,all sectors,11.78,cents per kilowatt-hour
2003,CO,Colorado,ALL,all sectors,6.77,cents per kilowatt-hour
2003,CT,Connecticut,ALL,all sectors,10.16,cents per kilowatt-hour
2003,DC,District of Columbia,ALL,all sectors,7.4,cents per kilowatt-hour
2003,DE,Delaware,ALL,all sectors,6.96,cents per kilowatt-hour
2003,ENC,East North Central,ALL,all sectors,6.53,cents per kilowatt-hour
2003,ESC,East South Central,ALL,all sectors,5.55,cents per kilowatt-hour
2003,FL,Florida,ALL,all sectors,7.72,cents per kilowatt-hour
2003,GA,Georgia,ALL,all sectors,6.32,cents per kilowatt-hour
2003,HI,Hawaii,ALL,all sectors,14.47,cents per kilowatt-hour
2003,IA,Iowa,ALL,all sectors,6.11,cents per kilowatt-hour
2003,ID,Idaho,ALL,all sectors,5.22,cents per kilowatt-hour
2003,IL,Illinois,ALL,all sectors,6.86,cents per kilowatt-hour
2003,IN,Indiana,ALL,all sectors,5.37,cents per kilowatt-hour
2003,KS,Kansas,ALL,all sectors,6.35,cents per kilowatt-hour
2003,KY,Kentucky,ALL,all sectors,4.42,cents per kilowatt-hour
2003,LA,Louisiana,ALL,all sectors,6.93,cents per kilowatt-hour
2003,MA,Massachusetts,ALL,all sectors,10.56,cents per kilowatt-hour
2003,MAT,Middle Atlantic,ALL,all sectors,10.09,cents per kilowatt-hour
2003,MD,Maryland,ALL,all sectors,6.45,cents per kilowatt-hour
2003,ME,Maine,ALL,all sectors,9.79,cents per kilowatt-hour
2003,MI,Michigan,ALL,all sectors,6.85,cents per kilowatt-hour
2003,MN,Minnesota,ALL,all sectors,6.01,cents per kilowatt-hour
2003,MO,Missouri,ALL,all sectors,6.02,cents per kilowatt-hour
2003,MS,Mississippi,ALL,all sectors,6.46,cents per kilowatt-hour
2003,MT,Montana,ALL,all sectors,6.14,cents per kilowatt-hour
2003,MTN,Mountain,ALL,all sectors,6.71,cents per kilowatt-hour
2003,NC,North Carolina,ALL,all sectors,6.86,cents per kilowatt-hour
2003,ND,North Dakota,ALL,all sectors,5.47,cents per kilowatt-hour
2003,NE,Nebraska,ALL,all sectors,5.64,cents per kilowatt-hour
2003,NEW,New England,ALL,all sectors,10.42,cents per kilowatt-hour
2003,NH,New Hampshire,ALL,all sectors,10.83,cents per kilowatt-hour
2003,NJ,New Jersey,ALL,all sectors,9.48,cents per kilowatt-hour
2003,NM,New Mexico,ALL,all sectors,7,cents per kilowatt-hour
2003,NV,Nevada,ALL,all sectors,8.29,cents per kilowatt-hour
2003,NY,New York,ALL,all sectors,12.44,cents per kilowatt-hour
2003,OH,Ohio,ALL,all sectors,6.73,cents per kilowatt-hour
2003,OK,Oklahoma,ALL,all sectors,6.35,cents per kilowatt-hour
2003,OR,Oregon,ALL,all sectors,6.18,cents per kilowatt-hour
2003,PA,Pennsylvania,ALL,all sectors,8.02,cents per kilowatt-hour
2003,PACC,Pacific Contiguous,ALL,all sectors,9.83,cents per kilowatt-hour
2003,PACN,Pacific Noncontiguous,ALL,all sectors,13.09,cents per kilowatt-hour
2003,RI,Rhode Island,ALL,all sectors,10.47,cents per kilowatt-hour
2003,SAT,South Atlantic,ALL,all sectors,6.77,cents per kilowatt-hour
2003,SC,South Carolina,ALL,all sectors,6.08,cents per kilowatt-hour
2003,SD,South Dakota,ALL,all sectors,6.35,cents per kilowatt-hour
2003,TN,Tennessee,ALL,all sectors,5.84,cents per kilowatt-hour
2003,TX,Texas,ALL,all sectors,7.5,cents per kilowatt-hour
2003,US,U.S. Total,ALL,all sectors,7.44,cents per kilowatt-hour
2003,UT,Utah,ALL,all sectors,5.41,cents per kilowatt-hour
2003,VA,Virginia,ALL,all sectors,6.27,cents per kilowatt-hour
2003,VT,Vermont,ALL,all sectors,10.98,cents per kilowatt-hour
2003,WA,Washington,ALL,all sectors,5.86,cents per kilowatt-hour
2003,WI,Wisconsin,ALL,all sectors,6.64,cents per kilowatt-hour
2003,WNC,West North Central,ALL,all sectors,6.03,cents per kilowatt-hour
2003,WSC,West South Central,ALL,all sectors,7.13,cents per kilowatt-hour
2003,WV,West Virginia,ALL,all sectors,5.13,cents per kilowatt-hour
2003,WY,Wyoming,ALL,all sectors,4.76,cents per kilowatt-hour
