state,declarationDate,incidentType,incidentEndDate,fyDeclared,region
CA,2017-05-02T00:00:00.000Z,Severe Storm,2017-02-11T00:00:00.000Z,2017,9
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
LA,2023-08-30T00:00:00.000Z,Fire,2023-10-24T00:00:00.000Z,2023,6
LA,2023-08-30T00:00:00.000Z,Fire,2023-10-24T00:00:00.000Z,2023,6
LA,2023-08-27T00:00:00.000Z,Fire,2023-10-04T00:00:00.000Z,2023,6
LA,2023-08-25T00:00:00.000Z,Fire,2023-10-12T00:00:00.000Z,2023,6
LA,2023-08-23T00:00:00.000Z,Fire,2023-10-25T00:00:00.000Z,2023,6
WA,2023-08-19T00:00:00.000Z,Fire,,2023,10
MT,2023-08-19T00:00:00.000Z,Fire,2023-09-05T00:00:00.000Z,2023,8
WA,2023-08-18T00:00:00.000Z,Fire,,2023,10
HI,2023-08-09T00:00:00.000Z,Fire,,2023,9
HI,2023-08-09T00:00:00.000Z,Fire,,2023,9
HI,2023-08-09T00:00:00.000Z,Fire,,2023,9
HI,2023-08-09T00:00:00.000Z,Fire,,2023,9
HI,2023-08-08T00:00:00.000Z,Fire,,2023,9
WA,2023-07-30T00:00:00.000Z,Fire,,2023,10
WA,2023-07-23T00:00:00.000Z,Fire,,2023,10
WA,2023-07-11T00:00:00.000Z,Fire,,2023,10
WA,2023-07-05T00:00:00.000Z,Fire,,2023,10
WA,2023-07-03T00:00:00.000Z,Fire,,2023,10
AZ,2023-06-28T00:00:00.000Z,Fire,2023-06-30T00:00:00.000Z,2023,9
NM,2023-05-10T00:00:00.000Z,Fire,2023-05-22T00:00:00.000Z,2023,6
NM,2023-05-10T00:00:00.000Z,Fire,2023-05-22T00:00:00.000Z,2023,6
RI,2023-04-14T00:00:00.000Z,Fire,2023-04-16T00:00:00.000Z,2023,1
KS,2023-04-13T00:00:00.000Z,Fire,2023-04-16T00:00:00.000Z,2023,7
NE,2023-04-09T00:00:00.000Z,Fire,2023-04-11T00:00:00.000Z,2023,7
NM,2023-04-02T00:00:00.000Z,Fire,2023-04-07T00:00:00.000Z,2023,6
OK,2023-03-31T00:00:00.000Z,Fire,2023-04-03T00:00:00.000Z,2023,6
OK,2023-03-31T00:00:00.000Z,Fire,2023-04-06T00:00:00.000Z,2023,6
OR,2023-01-27T00:00:00.000Z,Fire,2022-09-16T00:00:00.000Z,2023,10
WA,2022-10-17T00:00:00.000Z,Fire,2022-10-22T00:00:00.000Z,2023,10
WA,2022-10-17T00:00:00.000Z,Fire,2022-10-22T00:00:00.000Z,2023,10
WA,2022-09-10T00:00:00.000Z,Fire,2022-10-24T00:00:00.000Z,2022,10
WA,2022-09-10T00:00:00.000Z,Fire,2022-10-24T00:00:00.000Z,2022,10
OR,2022-09-10T00:00:00.000Z,Fire,2022-09-12T00:00:00.000Z,2022,10
CA,2022-09-09T00:00:00.000Z,Fire,2022-09-26T00:00:00.000Z,2022,9
CA,2022-09-09T00:00:00.000Z,Fire,2022-09-26T00:00:00.000Z,2022,9
ID,2022-09-05T00:00:00.000Z,Fire,2022-09-16T00:00:00.000Z,2022,10
CA,2022-09-06T00:00:00.000Z,Fire,2022-09-14T00:00:00.000Z,2022,9
CA,2022-09-02T00:00:00.000Z,Fire,2022-09-09T00:00:00.000Z,2022,9
ID,2022-08-19T00:00:00.000Z,Fire,2022-08-18T00:00:00.000Z,2022,10
ID,2022-08-19T00:00:00.000Z,Fire,2022-08-18T00:00:00.000Z,2022,10
ID,2022-08-19T00:00:00.000Z,Fire,2022-08-18T00:00:00.000Z,2022,10
NV,2022-08-14T00:00:00.000Z,Fire,2022-08-15T00:00:00.000Z,2022,9
WA,2022-08-04T00:00:00.000Z,Fire,2022-08-05T00:00:00.000Z,2022,10
OR,2022-08-03T00:00:00.000Z,Fire,2022-08-07T00:00:00.000Z,2022,10
CA,2022-07-23T00:00:00.000Z,Fire,2022-08-03T00:00:00.000Z,2022,9
AK,2022-06-26T00:00:00.000Z,Fire,2022-08-12T00:00:00.000Z,2022,10
AK,2022-06-26T00:00:00.000Z,Fire,2022-08-12T00:00:00.000Z,2022,10
CA,2022-05-12T00:00:00.000Z,Fire,2022-05-16T00:00:00.000Z,2022,9
NM,2022-04-30T00:00:00.000Z,Fire,2022-07-23T00:00:00.000Z,2022,6
NM,2022-04-28T00:00:00.000Z,Fire,2022-07-23T00:00:00.000Z,2022,6
NE,2022-04-23T00:00:00.000Z,Fire,2022-04-30T00:00:00.000Z,2022,7
NE,2022-04-23T00:00:00.000Z,Fire,2022-04-30T00:00:00.000Z,2022,7
NE,2022-04-23T00:00:00.000Z,Fire,2022-04-30T00:00:00.000Z,2022,7
AZ,2022-04-19T00:00:00.000Z,Fire,2022-04-28T00:00:00.000Z,2022,9
NM,2022-04-12T00:00:00.000Z,Fire,2022-07-23T00:00:00.000Z,2022,6
NM,2022-04-12T00:00:00.000Z,Fire,2022-07-23T00:00:00.000Z,2022,6
NM,2022-04-12T00:00:00.000Z,Fire,2022-07-23T00:00:00.000Z,2022,6
NM,2022-04-11T00:00:00.000Z,Fire,2022-07-23T00:00:00.000Z,2022,6
TX,2022-03-17T00:00:00.000Z,Fire,2022-03-30T00:00:00.000Z,2022,6
FL,2022-03-06T00:00:00.000Z,Fire,2022-04-01T00:00:00.000Z,2022,4
FL,2022-03-06T00:00:00.000Z,Fire,2022-04-01T00:00:00.000Z,2022,4
KS,2022-03-05T00:00:00.000Z,Fire,2022-03-16T00:00:00.000Z,2022,7
KS,2022-03-05T00:00:00.000Z,Fire,2022-03-16T00:00:00.000Z,2022,7
FL,2022-03-04T00:00:00.000Z,Fire,2022-04-01T00:00:00.000Z,2022,4
